local,raca_cor,ano,obito_materno
Ceará,Total,2021,129
Ceará,Total, Total período,2.489
Fortaleza,Ignorado,1994,0
Fortaleza,Total,1994,0
Fortaleza,Ignorado,1995,0
Fortaleza,Total,1995,0
Fortaleza,Branca,1996,0
Fortaleza,Ignorado,1996,34
Fortaleza,Total,1996,34
Fortaleza,Amarela,1997,0
Fortaleza,Branca,1997,2
Fortaleza,Ignorado,1997,30
Fortaleza,Indígena,1997,0
Fortaleza,Parda,1997,1
Fortaleza,Preta,1997,0
Fortaleza,Total,1997,33
Fortaleza,Amarela,1998,0
Fortaleza,Branca,1998,3
Fortaleza,Ignorado,1998,24
Fortaleza,Indígena,1998,0
Fortaleza,Parda,1998,3
Fortaleza,Preta,1998,0
Fortaleza,Total,1998,30
Fortaleza,Amarela,1999,2
Fortaleza,Branca,1999,1
Fortaleza,Ignorado,1999,4
Fortaleza,Indígena,1999,0
Fortaleza,Parda,1999,7
Fortaleza,Preta,1999,0
Fortaleza,Total,1999,14
Fortaleza,Amarela,2000,0
Fortaleza,Branca,2000,1
Fortaleza,Ignorado,2000,9
Fortaleza,Indígena,2000,0
Fortaleza,Parda,2000,9
Fortaleza,Preta,2000,2
Fortaleza,Total,2000,21
Fortaleza,Amarela,2001,0
Fortaleza,Branca,2001,4
Fortaleza,Ignorado,2001,11
Fortaleza,Indígena,2001,0
Fortaleza,Parda,2001,5
Fortaleza,Preta,2001,0
Fortaleza,Total,2001,20
Fortaleza,Amarela,2002,0
Fortaleza,Branca,2002,5
Fortaleza,Ignorado,2002,4
Fortaleza,Indígena,2002,0
Fortaleza,Parda,2002,10
Fortaleza,Preta,2002,1
Fortaleza,Total,2002,20
Fortaleza,Amarela,2003,0
Fortaleza,Branca,2003,3
Fortaleza,Ignorado,2003,11
Fortaleza,Indígena,2003,0
Fortaleza,Parda,2003,9
Fortaleza,Preta,2003,0
Fortaleza,Total,2003,23
Fortaleza,Amarela,2004,0
Fortaleza,Branca,2004,4
Fortaleza,Ignorado,2004,9
Fortaleza,Indígena,2004,0
Fortaleza,Parda,2004,12
Fortaleza,Preta,2004,4
Fortaleza,Total,2004,29
Fortaleza,Amarela,2005,0
Fortaleza,Branca,2005,6
Fortaleza,Ignorado,2005,4
Fortaleza,Indígena,2005,0
Fortaleza,Parda,2005,9
Fortaleza,Preta,2005,6
Fortaleza,Total,2005,25
Fortaleza,Amarela,2006,0
Fortaleza,Branca,2006,2
Fortaleza,Ignorado,2006,2
Fortaleza,Indígena,2006,0
Fortaleza,Parda,2006,11
Fortaleza,Preta,2006,0
Fortaleza,Total,2006,15
Fortaleza,Amarela,2007,0
Fortaleza,Branca,2007,0
Fortaleza,Ignorado,2007,2
Fortaleza,Indígena,2007,0
Fortaleza,Parda,2007,9
Fortaleza,Preta,2007,0
Fortaleza,Total,2007,11
Fortaleza,Amarela,2008,0
Fortaleza,Branca,2008,2
Fortaleza,Ignorado,2008,0
Fortaleza,Indígena,2008,0
Fortaleza,Parda,2008,14
Fortaleza,Preta,2008,0
Fortaleza,Total,2008,16
Fortaleza,Amarela,2009,0
Fortaleza,Branca,2009,4
Fortaleza,Ignorado,2009,4
Fortaleza,Indígena,2009,0
Fortaleza,Parda,2009,6
Fortaleza,Preta,2009,0
Fortaleza,Total,2009,14
Fortaleza,Amarela,2010,0
Fortaleza,Branca,2010,6
Fortaleza,Ignorado,2010,4
Fortaleza,Indígena,2010,0
Fortaleza,Parda,2010,9
Fortaleza,Preta,2010,1
Fortaleza,Total,2010,20
Fortaleza,Amarela,2011,0
Fortaleza,Branca,2011,2
Fortaleza,Ignorado,2011,2
Fortaleza,Indígena,2011,1
Fortaleza,Parda,2011,13
Fortaleza,Preta,2011,0
Fortaleza,Total,2011,18
Fortaleza,Amarela,2012,0
Fortaleza,Branca,2012,10
Fortaleza,Ignorado,2012,2
Fortaleza,Indígena,2012,0
Fortaleza,Parda,2012,10
Fortaleza,Preta,2012,1
Fortaleza,Total,2012,23
Fortaleza,Amarela,2013,0
Fortaleza,Branca,2013,6
Fortaleza,Ignorado,2013,1
Fortaleza,Indígena,2013,0
Fortaleza,Parda,2013,17
Fortaleza,Preta,2013,0
Fortaleza,Total,2013,24
Fortaleza,Amarela,2014,0
Fortaleza,Branca,2014,7
Fortaleza,Ignorado,2014,2
Fortaleza,Indígena,2014,0
Fortaleza,Parda,2014,14
Fortaleza,Preta,2014,2
Fortaleza,Total,2014,25
Fortaleza,Amarela,2015,0
Fortaleza,Branca,2015,2
Fortaleza,Ignorado,2015,1
Fortaleza,Indígena,2015,0
Fortaleza,Parda,2015,10
Fortaleza,Preta,2015,0
Fortaleza,Total,2015,13
Fortaleza,Amarela,2016,0
Fortaleza,Branca,2016,9
Fortaleza,Total,2016,16
Fortaleza,Ignorado,2016,1
Fortaleza,Indígena,2016,0
Fortaleza,Parda,2016,6
Fortaleza,Preta,2016,0
Fortaleza,Amarela,2017,0
Fortaleza,Branca,2017,3
Fortaleza,Ignorado,2017,0
Fortaleza,Indígena,2017,0
Fortaleza,Parda,2017,14
Fortaleza,Preta,2017,0
Fortaleza,Total,2017,17
Fortaleza,Amarela,2018,0
Fortaleza,Branca,2018,2
Fortaleza,Ignorado,2018,0
Fortaleza,Indígena,2018,0
Fortaleza,Parda,2018,9
Fortaleza,Preta,2018,0
Fortaleza,Total,2018,11
Fortaleza,Amarela,2019,0
Fortaleza,Branca,2019,1
Fortaleza,Ignorado,2019,1
Fortaleza,Indígena,2019,0
Fortaleza,Parda,2019,12
Fortaleza,Preta,2019,0
Fortaleza,Total,2019,14
Fortaleza,Amarela,2020,0
Fortaleza,Branca,2020,7
Fortaleza,Ignorado,2020,1
Fortaleza,Indígena,2020,0
Fortaleza,Parda,2020,22
Fortaleza,Preta,2020,1
Fortaleza,Total,2020,31
Fortaleza,Amarela,2021,0
Fortaleza,Branca,2021,4
Fortaleza,Ignorado,2021,1
Fortaleza,Indígena,2021,0
Fortaleza,Parda,2021,19
Fortaleza,Preta,2021,0
Fortaleza,Total,2021,24
Fortaleza,Amarela, Total período,2
Fortaleza,Branca, Total período,96
Fortaleza,Ignorado, Total período,164
Fortaleza,Indígena, Total período,1
Fortaleza,Parda, Total período,260
Fortaleza,Preta, Total período,18
Fortaleza,Total, Total período,541
Nordeste,Amarela,1996,0
Nordeste,Amarela,1997,2
Nordeste,Amarela,1998,6
Nordeste,Amarela,1999,21
Nordeste,Amarela,2000,5
Nordeste,Amarela,2001,2
Nordeste,Amarela,2002,5
Nordeste,Amarela,2003,3
Nordeste,Amarela,2004,2
Nordeste,Amarela,2005,4
Nordeste,Amarela,2006,0
Nordeste,Amarela,2007,0
Nordeste,Amarela,2008,1
Nordeste,Amarela,2009,0
Nordeste,Amarela,2010,2
Nordeste,Amarela,2011,2
Nordeste,Amarela,2012,1
Nordeste,Amarela,2013,0
Nordeste,Amarela,2014,2
Nordeste,Amarela,2015,2
Nordeste,Amarela,2016,1
Nordeste,Amarela,2017,4
Nordeste,Amarela,2018,1
Nordeste,Amarela,2019,0
Nordeste,Amarela,2020,6
Nordeste,Amarela,2021,2
Nordeste,Amarela, Total período,74
Nordeste,Branca,1996,0
Nordeste,Branca,1997,38
Nordeste,Branca,1998,60
Nordeste,Branca,1999,48
Nordeste,Branca,2000,95
Nordeste,Branca,2001,99
Nordeste,Branca,2002,123
Nordeste,Branca,2003,107
Nordeste,Branca,2004,87
Nordeste,Branca,2005,109
Nordeste,Branca,2006,110
Nordeste,Branca,2007,89
Nordeste,Branca,2008,101
Nordeste,Branca,2009,103
Nordeste,Branca,2010,96
Nordeste,Branca,2011,114
Nordeste,Branca,2012,109
Nordeste,Branca,2013,115
Nordeste,Branca,2014,104
Nordeste,Branca,2015,85
Nordeste,Branca,2016,79
Nordeste,Branca,2017,77
Nordeste,Branca,2018,77
Nordeste,Branca,2019,73
Nordeste,Branca,2020,109
Nordeste,Branca,2021,141
Nordeste,Branca, Total período,2.348
Nordeste,Ignorado,1994,0
Nordeste,Ignorado,1995,0
Nordeste,Ignorado,1996,447
Nordeste,Ignorado,1997,331
Nordeste,Ignorado,1998,266
Nordeste,Ignorado,1999,221
Nordeste,Ignorado,2000,142
Nordeste,Ignorado,2001,140
Nordeste,Ignorado,2002,111
Nordeste,Ignorado,2003,110
Nordeste,Ignorado,2004,80
Nordeste,Ignorado,2005,79
Nordeste,Ignorado,2006,61
Nordeste,Ignorado,2007,52
Nordeste,Ignorado,2008,58
Nordeste,Ignorado,2009,71
Nordeste,Ignorado,2010,51
Nordeste,Ignorado,2011,50
Nordeste,Ignorado,2012,34
Nordeste,Ignorado,2013,29
Nordeste,Ignorado,2014,32
Nordeste,Ignorado,2015,27
Nordeste,Ignorado,2016,20
Nordeste,Ignorado,2017,17
Nordeste,Ignorado,2018,24
Nordeste,Ignorado,2019,19
Nordeste,Ignorado,2020,25
Nordeste,Ignorado,2021,26
Nordeste,Ignorado, Total período,2.523
Nordeste,Indígena,1996,0
Nordeste,Indígena,1997,0
Nordeste,Indígena,1998,2
Nordeste,Indígena,1999,1
Nordeste,Indígena,2000,3
Nordeste,Indígena,2001,4
Nordeste,Indígena,2002,4
Nordeste,Indígena,2003,1
Nordeste,Indígena,2004,1
Nordeste,Indígena,2005,1
Nordeste,Indígena,2006,3
Nordeste,Indígena,2007,3
Nordeste,Indígena,2008,1
Nordeste,Indígena,2009,8
Nordeste,Indígena,2010,2
Nordeste,Indígena,2011,4
Nordeste,Indígena,2012,5
Nordeste,Indígena,2013,3
Nordeste,Indígena,2014,3
Nordeste,Indígena,2015,4
Nordeste,Indígena,2016,5
Nordeste,Indígena,2017,5
Nordeste,Indígena,2018,5
Nordeste,Indígena,2019,2
Nordeste,Indígena,2020,7
Nordeste,Indígena,2021,7
Nordeste,Indígena, Total período,84
Nordeste,Parda,1996,0
Nordeste,Parda,1997,69
Nordeste,Parda,1998,148
Nordeste,Parda,1999,191
Nordeste,Parda,2000,240
Nordeste,Parda,2001,233
Nordeste,Parda,2002,281
Nordeste,Parda,2003,314
Nordeste,Parda,2004,345
Nordeste,Parda,2005,369
Nordeste,Parda,2006,337
Nordeste,Parda,2007,357
Nordeste,Parda,2008,396
Nordeste,Parda,2009,378
Nordeste,Parda,2010,383
Nordeste,Parda,2011,369
Nordeste,Parda,2012,345
Nordeste,Parda,2013,405
Nordeste,Parda,2014,384
Nordeste,Parda,2015,408
Nordeste,Parda,2016,377
Nordeste,Parda,2017,376
Nordeste,Parda,2018,366
Nordeste,Parda,2019,345
Nordeste,Parda,2020,446
Nordeste,Parda,2021,556
Nordeste,Parda, Total período,8.418
Nordeste,Preta,1996,
Nordeste,Preta,1997,17
Nordeste,Preta,1998,12
Nordeste,Preta,1999,33
Nordeste,Preta,2000,49
Nordeste,Preta,2001,63
Nordeste,Preta,2002,47
Nordeste,Preta,2003,51
Nordeste,Preta,2004,65
Nordeste,Preta,2005,58
Nordeste,Preta,2006,53
Nordeste,Preta,2007,58
Nordeste,Preta,2008,61
Nordeste,Preta,2009,71
Nordeste,Preta,2010,64
Nordeste,Preta,2011,48
Nordeste,Preta,2012,52
Nordeste,Preta,2013,65
Nordeste,Preta,2014,69
Nordeste,Preta,2015,54
Nordeste,Preta,2016,56
Nordeste,Preta,2017,59
Nordeste,Preta,2018,52
Nordeste,Preta,2019,39
Nordeste,Preta,2020,69
Nordeste,Preta,2021,106
Nordeste,Preta, Total período,1.371
Nordeste,Total,1994,0
Nordeste,Total,1995,0
Nordeste,Total,1996,447
Nordeste,Total,1997,457
Nordeste,Total,1998,494
Nordeste,Total,1999,515
Nordeste,Total,2000,534
Nordeste,Total,2001,541
Nordeste,Total,2002,571
Nordeste,Total,2003,586
Nordeste,Total,2004,580
Nordeste,Total,2005,620
Nordeste,Total,2006,564
Nordeste,Total,2007,559
Nordeste,Total,2008,618
Nordeste,Total,2009,631
Nordeste,Total,2010,598
Nordeste,Total,2011,587
Nordeste,Total,2012,546
Nordeste,Total,2013,617
Nordeste,Total,2014,594
Nordeste,Total,2015,580
Nordeste,Total,2016,538
Nordeste,Total,2017,538
Nordeste,Total,2018,525
Nordeste,Total,2019,478
Nordeste,Total,2020,662
Nordeste,Total,2021,838
Nordeste,Total, Total período,14.818
Brasil,Total,2022,"1.370,00"
Ceará,Total,2022,"63,00"
Fortaleza,Total,2022,"8,00"
Nordeste,Total,2022,"430,00"
