local,raca_cor,ano,mortalidade_cancer_colo
Ceará,Amarela,2001,4
Ceará,Amarela,2002,2
Ceará,Amarela,2003,-
Ceará,Amarela,2004,2
Ceará,Amarela,2005,1
Ceará,Amarela,2006,2
Ceará,Amarela,2007,-
Ceará,Amarela,2008,-
Ceará,Amarela,2009,-
Ceará,Amarela,2010,1
Ceará,Amarela,2011,-
Ceará,Amarela,2012,2
Ceará,Amarela,2013,1
Ceará,Amarela,2014,1
Ceará,Amarela,2015,-
Ceará,Amarela,2016,4
Ceará,Amarela,2017,-
Ceará,Amarela,2018,-
Ceará,Amarela,2019,1
Ceará,Amarela,2020,3
Ceará,Amarela,2021,-
Ceará,Amarela,2022,1
Ceará,Branca,1996,-
Ceará,Branca,1997,6
Ceará,Branca,1998,18
Ceará,Branca,1999,28
Ceará,Branca,2000,50
Ceará,Branca,2001,44
Ceará,Branca,2002,65
Ceará,Branca,2003,54
Ceará,Branca,2004,54
Ceará,Branca,2005,62
Ceará,Branca,2006,62
Ceará,Branca,2007,80
Ceará,Branca,2008,60
Ceará,Branca,2009,81
Ceará,Branca,2010,58
Ceará,Branca,2011,49
Ceará,Branca,2012,60
Ceará,Branca,2013,74
Ceará,Branca,2014,65
Ceará,Branca,2015,69
Ceará,Branca,2016,67
Ceará,Branca,2017,62
Ceará,Branca,2018,62
Ceará,Branca,2019,60
Ceará,Branca,2020,82
Ceará,Branca,2021,96
Ceará,Branca,2022,68
Ceará,Ignorado,1996,84
Ceará,Ignorado,1997,94
Ceará,Ignorado,1998,58
Ceará,Ignorado,1999,65
Ceará,Ignorado,2000,42
Ceará,Ignorado,2001,46
Ceará,Ignorado,2002,39
Ceará,Ignorado,2003,39
Ceará,Ignorado,2004,26
Ceará,Ignorado,2005,29
Ceará,Ignorado,2006,21
Ceará,Ignorado,2007,23
Ceará,Ignorado,2008,13
Ceará,Ignorado,2009,23
Ceará,Ignorado,2010,15
Ceará,Ignorado,2011,25
Ceará,Ignorado,2012,12
Ceará,Ignorado,2013,10
Ceará,Ignorado,2014,7
Ceará,Ignorado,2015,5
Ceará,Ignorado,2016,-
Ceará,Ignorado,2017,5
Ceará,Ignorado,2018,4
Ceará,Ignorado,2019,3
Ceará,Ignorado,2020,3
Ceará,Ignorado,2021,4
Ceará,Ignorado,2022,3
Ceará,Indígena,1996,-
Ceará,Indígena,1997,-
Ceará,Indígena,1998,-
Ceará,Indígena,1999,-
Ceará,Indígena,2000,1
Ceará,Indígena,2001,-
Ceará,Indígena,2002,-
Ceará,Indígena,2003,-
Ceará,Indígena,2004,1
Ceará,Indígena,2005,1
Ceará,Indígena,2006,1
Ceará,Indígena,2007,-
Ceará,Indígena,2008,2
Ceará,Indígena,2009,1
Ceará,Indígena,2010,-
Ceará,Indígena,2011,-
Ceará,Indígena,2012,2
Ceará,Indígena,2013,2
Ceará,Indígena,2014,1
Ceará,Indígena,2015,1
Ceará,Indígena,2016,1
Ceará,Indígena,2017,3
Ceará,Indígena,2018,-
Ceará,Indígena,2019,-
Ceará,Indígena,2020,1
Ceará,Indígena,2021,1
Ceará,Indígena,2022,-
Ceará,Parda,1996,-
Ceará,Parda,1997,2
Ceará,Parda,1998,17
Ceará,Parda,1999,41
Ceará,Parda,2000,52
Ceará,Parda,2001,66
Ceará,Parda,2002,84
Ceará,Parda,2003,72
Ceará,Parda,2004,68
Ceará,Parda,2005,99
Ceará,Parda,2006,145
Ceará,Parda,2007,156
Ceará,Parda,2008,163
Ceará,Parda,2009,151
Ceará,Parda,2010,155
Ceará,Parda,2011,163
Ceará,Parda,2012,177
Ceará,Parda,2013,159
Ceará,Parda,2014,163
Ceará,Parda,2015,190
Ceará,Parda,2016,210
Ceará,Parda,2017,243
Ceará,Parda,2018,237
Ceará,Parda,2019,249
Ceará,Parda,2020,248
Ceará,Parda,2021,243
Ceará,Parda,2022,238
Ceará,Preta,1996,-
Ceará,Preta,1997,1
Ceará,Preta,1998,5
Ceará,Preta,1999,3
Ceará,Preta,2000,6
Ceará,Preta,2001,8
Ceará,Preta,2002,13
Ceará,Preta,2003,11
Ceará,Preta,2004,9
Ceará,Preta,2005,12
Ceará,Preta,2006,8
Ceará,Preta,2007,9
Ceará,Preta,2008,9
Ceará,Preta,2009,8
Ceará,Preta,2010,11
Ceará,Preta,2011,15
Ceará,Preta,2012,8
Ceará,Preta,2013,6
Ceará,Preta,2014,5
Ceará,Preta,2015,11
Ceará,Preta,2016,6
Ceará,Preta,2017,11
Ceará,Preta,2018,8
Ceará,Preta,2019,3
Ceará,Preta,2020,9
Ceará,Preta,2021,13
Ceará,Preta,2022,12
Fortaleza,Amarela,1996,-
Fortaleza,Amarela,1997,-
Fortaleza,Amarela,1998,-
Fortaleza,Amarela,1999,1
Fortaleza,Amarela,2000,1
Fortaleza,Amarela,2001,1
Fortaleza,Amarela,2002,-
Fortaleza,Amarela,2003,-
Fortaleza,Amarela,2004,-
Fortaleza,Amarela,2005,-
Fortaleza,Amarela,2006,-
Fortaleza,Amarela,2007,-
Fortaleza,Amarela,2008,-
Fortaleza,Amarela,2009,-
Fortaleza,Amarela,2010,-
Fortaleza,Amarela,2011,-
Fortaleza,Amarela,2012,-
Fortaleza,Amarela,2013,1
Fortaleza,Amarela,2014,-
Fortaleza,Amarela,2015,-
Fortaleza,Amarela,2016,-
Fortaleza,Amarela,2017,-
Fortaleza,Amarela,2018,-
Fortaleza,Amarela,2019,1
Fortaleza,Amarela,2020,-
Fortaleza,Amarela,2021,-
Fortaleza,Amarela,2022,-
Fortaleza,Branca,1996,-
Fortaleza,Branca,1997,4
Fortaleza,Branca,1998,8
Fortaleza,Branca,1999,7
Fortaleza,Branca,2000,13
Fortaleza,Branca,2001,12
Fortaleza,Branca,2002,19
Fortaleza,Branca,2003,14
Fortaleza,Branca,2004,11
Fortaleza,Branca,2005,19
Fortaleza,Branca,2006,13
Fortaleza,Branca,2007,26
Fortaleza,Branca,2008,18
Fortaleza,Branca,2009,30
Fortaleza,Branca,2010,25
Fortaleza,Branca,2011,14
Fortaleza,Branca,2012,17
Fortaleza,Branca,2013,27
Fortaleza,Branca,2014,23
Fortaleza,Branca,2015,22
Fortaleza,Branca,2016,17
Fortaleza,Branca,2017,19
Fortaleza,Branca,2018,27
Fortaleza,Branca,2019,19
Fortaleza,Branca,2020,29
Fortaleza,Branca,2021,31
Fortaleza,Branca,2022,27
Fortaleza,Ignorado,1996,49
Fortaleza,Ignorado,1997,38
Fortaleza,Ignorado,1998,34
Fortaleza,Ignorado,1999,21
Fortaleza,Ignorado,2000,23
Fortaleza,Ignorado,2001,26
Fortaleza,Ignorado,2002,22
Fortaleza,Ignorado,2003,18
Fortaleza,Ignorado,2004,12
Fortaleza,Ignorado,2005,16
Fortaleza,Ignorado,2006,13
Fortaleza,Ignorado,2007,10
Fortaleza,Ignorado,2008,8
Fortaleza,Ignorado,2009,9
Fortaleza,Ignorado,2010,7
Fortaleza,Ignorado,2011,12
Fortaleza,Ignorado,2012,7
Fortaleza,Ignorado,2013,4
Fortaleza,Ignorado,2014,2
Fortaleza,Ignorado,2015,3
Fortaleza,Ignorado,2016,-
Fortaleza,Ignorado,2017,-
Fortaleza,Ignorado,2018,3
Fortaleza,Ignorado,2019,-
Fortaleza,Ignorado,2020,1
Fortaleza,Ignorado,2021,2
Fortaleza,Ignorado,2022,2
Fortaleza,Indígena,1996,-
Fortaleza,Indígena,1997,-
Fortaleza,Indígena,1998,-
Fortaleza,Indígena,1999,-
Fortaleza,Indígena,2000,-
Fortaleza,Indígena,2001,-
Fortaleza,Indígena,2002,-
Fortaleza,Indígena,2003,-
Fortaleza,Indígena,2004,-
Fortaleza,Indígena,2005,-
Fortaleza,Indígena,2006,-
Fortaleza,Indígena,2007,-
Fortaleza,Indígena,2008,-
Fortaleza,Indígena,2009,-
Fortaleza,Indígena,2010,-
Fortaleza,Indígena,2011,-
Fortaleza,Indígena,2012,1
Fortaleza,Indígena,2013,-
Fortaleza,Indígena,2014,-
Fortaleza,Indígena,2015,-
Fortaleza,Indígena,2016,-
Fortaleza,Indígena,2017,-
Fortaleza,Indígena,2018,-
Fortaleza,Indígena,2019,-
Fortaleza,Indígena,2020,-
Fortaleza,Indígena,2021,1
Fortaleza,Indígena,2022,-
Fortaleza,Parda,1996,-
Fortaleza,Parda,1997,2
Fortaleza,Parda,1998,4
Fortaleza,Parda,1999,14
Fortaleza,Parda,2000,8
Fortaleza,Parda,2001,15
Fortaleza,Parda,2002,22
Fortaleza,Parda,2003,25
Fortaleza,Parda,2004,19
Fortaleza,Parda,2005,26
Fortaleza,Parda,2006,47
Fortaleza,Parda,2007,55
Fortaleza,Parda,2008,34
Fortaleza,Parda,2009,51
Fortaleza,Parda,2010,51
Fortaleza,Parda,2011,52
Fortaleza,Parda,2012,62
Fortaleza,Parda,2013,52
Fortaleza,Parda,2014,48
Fortaleza,Parda,2015,61
Fortaleza,Parda,2016,72
Fortaleza,Parda,2017,74
Fortaleza,Parda,2018,84
Fortaleza,Parda,2019,70
Fortaleza,Parda,2020,89
Fortaleza,Parda,2021,70
Fortaleza,Parda,2022,67
Fortaleza,Preta,1996,-
Fortaleza,Preta,1997,-
Fortaleza,Preta,1998,-
Fortaleza,Preta,1999,-
Fortaleza,Preta,2000,2
Fortaleza,Preta,2001,1
Fortaleza,Preta,2002,1
Fortaleza,Preta,2003,3
Fortaleza,Preta,2004,2
Fortaleza,Preta,2005,2
Fortaleza,Preta,2006,2
Fortaleza,Preta,2007,6
Fortaleza,Preta,2008,1
Fortaleza,Preta,2009,2
Fortaleza,Preta,2010,3
Fortaleza,Preta,2011,5
Fortaleza,Preta,2012,4
Fortaleza,Preta,2013,2
Fortaleza,Preta,2014,1
Fortaleza,Preta,2015,2
Fortaleza,Preta,2016,-
Fortaleza,Preta,2017,4
Fortaleza,Preta,2018,2
Fortaleza,Preta,2019,1
Fortaleza,Preta,2020,3
Fortaleza,Preta,2021,2
Fortaleza,Preta,2022,4
Nordeste,Amarela,1996,-
Nordeste,Amarela,1997,10
Nordeste,Amarela,1998,7
Nordeste,Amarela,1999,29
Nordeste,Amarela,2000,4
Nordeste,Amarela,2001,7
Nordeste,Amarela,2002,4
Nordeste,Amarela,2003,1
Nordeste,Amarela,2004,12
Nordeste,Amarela,2005,8
Nordeste,Amarela,2006,4
Nordeste,Amarela,2007,4
Nordeste,Amarela,2008,10
Nordeste,Amarela,2009,6
Nordeste,Amarela,2010,7
Nordeste,Amarela,2011,7
Nordeste,Amarela,2012,6
Nordeste,Amarela,2013,7
Nordeste,Amarela,2014,3
Nordeste,Amarela,2015,5
Nordeste,Amarela,2016,17
Nordeste,Amarela,2017,11
Nordeste,Amarela,2018,6
Nordeste,Amarela,2019,5
Nordeste,Amarela,2020,10
Nordeste,Amarela,2021,10
Nordeste,Amarela,2022,8
Nordeste,Branca,1996,-
Nordeste,Branca,1997,97
Nordeste,Branca,1998,145
Nordeste,Branca,1999,163
Nordeste,Branca,2000,238
Nordeste,Branca,2001,264
Nordeste,Branca,2002,285
Nordeste,Branca,2003,300
Nordeste,Branca,2004,312
Nordeste,Branca,2005,307
Nordeste,Branca,2006,342
Nordeste,Branca,2007,349
Nordeste,Branca,2008,343
Nordeste,Branca,2009,398
Nordeste,Branca,2010,353
Nordeste,Branca,2011,369
Nordeste,Branca,2012,412
Nordeste,Branca,2013,393
Nordeste,Branca,2014,402
Nordeste,Branca,2015,393
Nordeste,Branca,2016,355
Nordeste,Branca,2017,472
Nordeste,Branca,2018,417
Nordeste,Branca,2019,407
Nordeste,Branca,2020,430
Nordeste,Branca,2021,478
Nordeste,Branca,2022,492
Nordeste,Ignorado,1996,737
Nordeste,Ignorado,1997,471
Nordeste,Ignorado,1998,391
Nordeste,Ignorado,1999,287
Nordeste,Ignorado,2000,218
Nordeste,Ignorado,2001,158
Nordeste,Ignorado,2002,159
Nordeste,Ignorado,2003,139
Nordeste,Ignorado,2004,131
Nordeste,Ignorado,2005,161
Nordeste,Ignorado,2006,147
Nordeste,Ignorado,2007,131
Nordeste,Ignorado,2008,100
Nordeste,Ignorado,2009,135
Nordeste,Ignorado,2010,91
Nordeste,Ignorado,2011,128
Nordeste,Ignorado,2012,94
Nordeste,Ignorado,2013,85
Nordeste,Ignorado,2014,71
Nordeste,Ignorado,2015,69
Nordeste,Ignorado,2016,67
Nordeste,Ignorado,2017,101
Nordeste,Ignorado,2018,70
Nordeste,Ignorado,2019,70
Nordeste,Ignorado,2020,53
Nordeste,Ignorado,2021,45
Nordeste,Ignorado,2022,66
Nordeste,Indígena,1996,-
Nordeste,Indígena,1997,1
Nordeste,Indígena,1998,1
Nordeste,Indígena,1999,3
Nordeste,Indígena,2000,4
Nordeste,Indígena,2001,1
Nordeste,Indígena,2002,1
Nordeste,Indígena,2003,1
Nordeste,Indígena,2004,3
Nordeste,Indígena,2005,2
Nordeste,Indígena,2006,4
Nordeste,Indígena,2007,3
Nordeste,Indígena,2008,7
Nordeste,Indígena,2009,5
Nordeste,Indígena,2010,1
Nordeste,Indígena,2011,1
Nordeste,Indígena,2012,6
Nordeste,Indígena,2013,5
Nordeste,Indígena,2014,5
Nordeste,Indígena,2015,6
Nordeste,Indígena,2016,4
Nordeste,Indígena,2017,10
Nordeste,Indígena,2018,5
Nordeste,Indígena,2019,9
Nordeste,Indígena,2020,5
Nordeste,Indígena,2021,7
Nordeste,Indígena,2022,10
Nordeste,Parda,1996,-
Nordeste,Parda,1997,137
Nordeste,Parda,1998,231
Nordeste,Parda,1999,306
Nordeste,Parda,2000,412
Nordeste,Parda,2001,485
Nordeste,Parda,2002,511
Nordeste,Parda,2003,540
Nordeste,Parda,2004,563
Nordeste,Parda,2005,720
Nordeste,Parda,2006,827
Nordeste,Parda,2007,841
Nordeste,Parda,2008,883
Nordeste,Parda,2009,926
Nordeste,Parda,2010,901
Nordeste,Parda,2011,966
Nordeste,Parda,2012,1024
Nordeste,Parda,2013,1044
Nordeste,Parda,2014,1124
Nordeste,Parda,2015,1133
Nordeste,Parda,2016,1213
Nordeste,Parda,2017,1338
Nordeste,Parda,2018,1339
Nordeste,Parda,2019,1411
Nordeste,Parda,2020,1380
Nordeste,Parda,2021,1374
Nordeste,Parda,2022,1444
Nordeste,Preta,1996,-
Nordeste,Preta,1997,30
Nordeste,Preta,1998,41
Nordeste,Preta,1999,37
Nordeste,Preta,2000,63
Nordeste,Preta,2001,84
Nordeste,Preta,2002,105
Nordeste,Preta,2003,106
Nordeste,Preta,2004,110
Nordeste,Preta,2005,120
Nordeste,Preta,2006,110
Nordeste,Preta,2007,103
Nordeste,Preta,2008,124
Nordeste,Preta,2009,122
Nordeste,Preta,2010,131
Nordeste,Preta,2011,140
Nordeste,Preta,2012,136
Nordeste,Preta,2013,158
Nordeste,Preta,2014,157
Nordeste,Preta,2015,162
Nordeste,Preta,2016,146
Nordeste,Preta,2017,118
Nordeste,Preta,2018,162
Nordeste,Preta,2019,185
Nordeste,Preta,2020,180
Nordeste,Preta,2021,203
Nordeste,Preta,2022,209
