local,raca_cor,ano,genero,idade,taxa_ocupacao
Brasil,Branca,2014,Total,20-29,"91,3%"
Brasil,Branca,2014,Total,30-39,"95,2%"
Brasil,Branca,2014,Total,40-49,"96,9%"
Brasil,Branca,2014,Total,50-59,"97,6%"
Brasil,Branca,2014,Total,60-65,"98,4%"
Brasil,Branca,2014,Total,66+,"99,2%"
Brasil,Branca,2015,Total,Total,"92,7%"
Brasil,Branca,2015,Masc,14-19,"78,4%"
Brasil,Branca,2015,Masc,20-29,"90,2%"
Brasil,Branca,2015,Masc,30-39,"95,2%"
Brasil,Branca,2015,Masc,40-49,"96,3%"
Brasil,Branca,2015,Masc,50-59,"97,0%"
Brasil,Branca,2015,Masc,60-65,"97,5%"
Brasil,Branca,2015,Masc,66+,"98,2%"
Brasil,Branca,2015,Fem,14-19,"72,2%"
Brasil,Branca,2015,Fem,20-29,"87,1%"
Brasil,Branca,2015,Fem,30-39,"92,8%"
Brasil,Branca,2015,Fem,40-49,"95,2%"
Brasil,Branca,2015,Fem,50-59,"96,9%"
Brasil,Branca,2015,Fem,60-65,"97,6%"
Brasil,Branca,2015,Fem,66+,"98,9%"
Brasil,Branca,2015,Masc,Total,"93,6%"
Brasil,Branca,2015,Fem,Total,"91,5%"
Brasil,Branca,2015,Total,14-19,"75,8%"
Brasil,Branca,2015,Total,20-29,"88,8%"
Brasil,Branca,2015,Total,30-39,"94,1%"
Brasil,Branca,2015,Total,40-49,"95,8%"
Brasil,Branca,2015,Total,50-59,"97,0%"
Brasil,Branca,2015,Total,60-65,"97,5%"
Brasil,Branca,2015,Total,66+,"98,4%"
Brasil,Branca,2016,Total,Total,"90,6%"
Brasil,Branca,2016,Masc,14-19,"70,9%"
Brasil,Branca,2016,Masc,20-29,"86,6%"
Brasil,Branca,2016,Masc,30-39,"93,8%"
Brasil,Branca,2016,Masc,40-49,"94,9%"
Brasil,Branca,2016,Masc,50-59,"95,5%"
Brasil,Branca,2016,Masc,60-65,"95,6%"
Brasil,Branca,2016,Masc,66+,"98,6%"
Brasil,Branca,2016,Fem,14-19,"63,7%"
Brasil,Branca,2016,Fem,20-29,"83,8%"
Brasil,Branca,2016,Fem,30-39,"91,6%"
Brasil,Branca,2016,Fem,40-49,"93,3%"
Brasil,Branca,2016,Fem,50-59,"95,6%"
Brasil,Branca,2016,Fem,60-65,"97,2%"
Brasil,Branca,2016,Fem,66+,"98,8%"
Brasil,Branca,2016,Masc,Total,"91,5%"
Brasil,Branca,2016,Fem,Total,"89,4%"
Brasil,Branca,2016,Total,14-19,"67,7%"
Brasil,Branca,2016,Total,20-29,"85,3%"
Brasil,Branca,2016,Total,30-39,"92,8%"
Brasil,Branca,2016,Total,40-49,"94,1%"
Brasil,Branca,2016,Total,50-59,"95,5%"
Brasil,Branca,2016,Total,60-65,"96,1%"
Brasil,Branca,2016,Total,66+,"98,6%"
Brasil,Branca,2017,Total,Total,"89,9%"
Brasil,Branca,2017,Masc,14-19,"68,6%"
Brasil,Branca,2017,Masc,20-29,"87,2%"
Brasil,Branca,2017,Masc,30-39,"93,7%"
Brasil,Branca,2017,Masc,40-49,"94,7%"
Brasil,Branca,2017,Masc,50-59,"94,3%"
Brasil,Branca,2017,Masc,60-65,"95,3%"
Brasil,Branca,2017,Masc,66+,"97,5%"
Brasil,Branca,2017,Fem,14-19,"62,0%"
Brasil,Branca,2017,Fem,20-29,"82,3%"
Brasil,Branca,2017,Fem,30-39,"90,3%"
Brasil,Branca,2017,Fem,40-49,"92,6%"
Brasil,Branca,2017,Fem,50-59,"94,4%"
Brasil,Branca,2017,Fem,60-65,"95,9%"
Brasil,Branca,2017,Fem,66+,"97,0%"
Brasil,Branca,2017,Masc,Total,"91,3%"
Brasil,Branca,2017,Fem,Total,"88,2%"
Brasil,Branca,2017,Total,14-19,"65,6%"
Brasil,Branca,2017,Total,20-29,"85,0%"
Brasil,Branca,2017,Total,30-39,"92,1%"
Brasil,Branca,2017,Total,40-49,"93,7%"
Brasil,Branca,2017,Total,50-59,"94,3%"
Brasil,Branca,2017,Total,60-65,"95,5%"
Brasil,Branca,2017,Total,66+,"97,4%"
Brasil,Branca,2018,Total,Total,"90,4%"
Brasil,Branca,2018,Masc,14-19,"68,2%"
Brasil,Branca,2018,Masc,20-29,"87,3%"
Brasil,Branca,2018,Masc,30-39,"94,4%"
Brasil,Branca,2018,Masc,40-49,"94,8%"
Brasil,Branca,2018,Masc,50-59,"95,3%"
Brasil,Branca,2018,Masc,60-65,"95,7%"
Brasil,Branca,2018,Masc,66+,"98,0%"
Brasil,Branca,2018,Fem,14-19,"62,8%"
Brasil,Branca,2018,Fem,20-29,"82,9%"
Brasil,Branca,2018,Fem,30-39,"90,9%"
Brasil,Branca,2018,Fem,40-49,"92,5%"
Brasil,Branca,2018,Fem,50-59,"94,5%"
Brasil,Branca,2018,Fem,60-65,"97,2%"
Brasil,Branca,2018,Fem,66+,"97,8%"
Brasil,Branca,2018,Masc,Total,"91,7%"
Brasil,Branca,2018,Fem,Total,"88,8%"
Brasil,Branca,2018,Total,14-19,"65,8%"
Brasil,Branca,2018,Total,20-29,"85,3%"
Brasil,Branca,2018,Total,30-39,"92,8%"
Brasil,Branca,2018,Total,40-49,"93,7%"
Brasil,Branca,2018,Total,50-59,"94,9%"
Brasil,Branca,2018,Total,60-65,"96,3%"
Brasil,Branca,2018,Total,66+,"97,9%"
Brasil,Branca,2019,Total,Total,"90,7%"
Brasil,Branca,2019,Masc,14-19,"68,9%"
Brasil,Branca,2019,Masc,20-29,"87,8%"
Brasil,Branca,2019,Masc,30-39,"95,2%"
Brasil,Branca,2019,Masc,40-49,"95,7%"
Brasil,Branca,2019,Masc,50-59,"94,8%"
Brasil,Branca,2019,Masc,60-65,"95,6%"
Brasil,Branca,2019,Masc,66+,"98,1%"
Brasil,Branca,2019,Fem,14-19,"60,1%"
Brasil,Branca,2019,Fem,20-29,"83,0%"
Brasil,Branca,2019,Fem,30-39,"90,9%"
Brasil,Branca,2019,Fem,40-49,"92,8%"
Brasil,Branca,2019,Fem,50-59,"94,4%"
Brasil,Branca,2019,Fem,60-65,"96,5%"
Brasil,Branca,2019,Fem,66+,"97,9%"
Brasil,Branca,2019,Masc,Total,"92,2%"
Brasil,Branca,2019,Fem,Total,"88,8%"
Brasil,Branca,2019,Total,14-19,"65,1%"
Brasil,Branca,2019,Total,20-29,"85,5%"
Brasil,Branca,2019,Total,30-39,"93,1%"
Brasil,Branca,2019,Total,40-49,"94,3%"
Brasil,Branca,2019,Total,50-59,"94,6%"
Brasil,Branca,2019,Total,60-65,"95,9%"
Brasil,Branca,2019,Total,66+,"98,0%"
Brasil,Branca,2020,Total,Total,"88,9%"
Brasil,Branca,2020,Masc,14-19,"62,9%"
Brasil,Branca,2020,Masc,20-29,"84,4%"
Brasil,Branca,2020,Masc,30-39,"92,8%"
Brasil,Branca,2020,Masc,40-49,"94,0%"
Brasil,Branca,2020,Masc,50-59,"93,7%"
Brasil,Branca,2020,Masc,60-65,"93,2%"
Brasil,Branca,2020,Masc,66+,"97,7%"
Brasil,Branca,2020,Fem,14-19,"57,1%"
Brasil,Branca,2020,Fem,20-29,"80,1%"
Brasil,Branca,2020,Fem,30-39,"89,8%"
Brasil,Branca,2020,Fem,40-49,"91,6%"
Brasil,Branca,2020,Fem,50-59,"92,4%"
Brasil,Branca,2020,Fem,60-65,"94,3%"
Brasil,Branca,2020,Fem,66+,"97,9%"
Brasil,Branca,2020,Masc,Total,"90,1%"
Brasil,Branca,2020,Fem,Total,"87,3%"
Brasil,Branca,2020,Total,14-19,"60,4%"
Brasil,Branca,2020,Total,20-29,"82,4%"
Brasil,Branca,2020,Total,30-39,"91,4%"
Brasil,Branca,2020,Total,40-49,"92,9%"
Brasil,Branca,2020,Total,50-59,"93,1%"
Brasil,Branca,2020,Total,60-65,"93,6%"
Brasil,Branca,2020,Total,66+,"97,8%"
Brasil,Branca,2021,Total,Total,"88,7%"
Brasil,Branca,2021,Masc,14-19,"68,3%"
Brasil,Branca,2021,Masc,20-29,"84,4%"
Brasil,Branca,2021,Masc,30-39,"93,7%"
Brasil,Branca,2021,Masc,40-49,"93,9%"
Brasil,Branca,2021,Masc,50-59,"93,4%"
Brasil,Branca,2021,Masc,60-65,"95,3%"
Brasil,Branca,2021,Masc,66+,"96,8%"
Brasil,Branca,2021,Fem,14-19,"56,5%"
Brasil,Branca,2021,Fem,20-29,"80,1%"
Brasil,Branca,2021,Fem,30-39,"88,3%"
Brasil,Branca,2021,Fem,40-49,"89,6%"
Brasil,Branca,2021,Fem,50-59,"91,8%"
Brasil,Branca,2021,Fem,60-65,"93,2%"
Brasil,Branca,2021,Fem,66+,"98,3%"
Brasil,Branca,2021,Masc,Total,"90,7%"
Brasil,Branca,2021,Fem,Total,"86,3%"
Brasil,Branca,2021,Total,14-19,"63,1%"
Brasil,Branca,2021,Total,20-29,"82,4%"
Brasil,Branca,2021,Total,30-39,"91,2%"
Brasil,Branca,2021,Total,40-49,"91,9%"
Brasil,Branca,2021,Total,50-59,"92,7%"
Brasil,Branca,2021,Total,60-65,"94,5%"
Brasil,Branca,2021,Total,66+,"97,2%"
Brasil,Branca,2022,Total,Total,"92,4%"
Brasil,Branca,2022,Masc,14-19,"74,6%"
Brasil,Branca,2022,Masc,20-29,"90,3%"
Brasil,Branca,2022,Masc,30-39,"95,2%"
Brasil,Branca,2022,Masc,40-49,"95,9%"
Brasil,Branca,2022,Masc,50-59,"96,4%"
Brasil,Branca,2022,Masc,60-65,"96,5%"
Brasil,Branca,2022,Masc,66+,"97,6%"
Brasil,Branca,2022,Fem,14-19,"66,6%"
Brasil,Branca,2022,Fem,20-29,"86,5%"
Brasil,Branca,2022,Fem,30-39,"92,4%"
Brasil,Branca,2022,Fem,40-49,"93,4%"
Brasil,Branca,2022,Fem,50-59,"95,0%"
Brasil,Branca,2022,Fem,60-65,"96,1%"
Brasil,Branca,2022,Fem,66+,"98,0%"
Brasil,Branca,2022,Masc,Total,"93,7%"
Brasil,Branca,2022,Fem,Total,"90,8%"
Brasil,Branca,2022,Total,14-19,"71,0%"
Brasil,Branca,2022,Total,20-29,"88,5%"
Brasil,Branca,2022,Total,30-39,"93,9%"
Brasil,Branca,2022,Total,40-49,"94,7%"
Brasil,Branca,2022,Total,50-59,"95,8%"
Brasil,Branca,2022,Total,60-65,"96,4%"
Brasil,Branca,2022,Total,66+,"97,8%"
Brasil,Ignorado,2012,Total,Total,"93,7%"
Brasil,Ignorado,2012,Masc,14-19,"78,8%"
Brasil,Ignorado,2012,Masc,20-29,"90,6%"
Brasil,Ignorado,2012,Masc,30-39,"97,8%"
Brasil,Ignorado,2012,Masc,40-49,"99,0%"
Brasil,Ignorado,2012,Masc,50-59,"98,3%"
Brasil,Ignorado,2012,Masc,60-65,"96,7%"
Brasil,Ignorado,2012,Masc,66+,"96,5%"
Brasil,Ignorado,2012,Fem,14-19,"78,2%"
Brasil,Ignorado,2012,Fem,20-29,"88,9%"
Brasil,Ignorado,2012,Fem,30-39,"91,1%"
Brasil,Ignorado,2012,Fem,40-49,"99,1%"
Brasil,Ignorado,2012,Fem,50-59,"93,4%"
Brasil,Ignorado,2012,Fem,60-65,"88,1%"
Brasil,Ignorado,2012,Fem,66+,"100,0%"
Brasil,Ignorado,2012,Masc,Total,"95,3%"
Brasil,Ignorado,2012,Fem,Total,"91,7%"
Brasil,Ignorado,2012,Total,14-19,"78,5%"
Brasil,Ignorado,2012,Total,20-29,"89,8%"
Brasil,Ignorado,2012,Total,30-39,"95,1%"
Brasil,Ignorado,2012,Total,40-49,"99,1%"
Brasil,Ignorado,2012,Total,50-59,"96,1%"
Brasil,Ignorado,2012,Total,60-65,"93,3%"
Brasil,Ignorado,2012,Total,66+,"97,9%"
Brasil,Ignorado,2013,Total,Total,"93,0%"
Brasil,Ignorado,2013,Masc,14-19,"84,5%"
Brasil,Ignorado,2013,Masc,20-29,"90,9%"
Brasil,Ignorado,2013,Masc,30-39,"91,3%"
Brasil,Ignorado,2013,Masc,40-49,"95,0%"
Brasil,Ignorado,2013,Masc,50-59,"100,0%"
Brasil,Ignorado,2013,Masc,60-65,"98,4%"
Brasil,Ignorado,2013,Masc,66+,"99,0%"
Brasil,Ignorado,2013,Fem,14-19,"71,1%"
Brasil,Ignorado,2013,Fem,20-29,"86,5%"
Brasil,Ignorado,2013,Fem,30-39,"93,9%"
Brasil,Ignorado,2013,Fem,40-49,"94,6%"
Brasil,Ignorado,2013,Fem,50-59,"95,3%"
Brasil,Ignorado,2013,Fem,60-65,"87,3%"
Brasil,Ignorado,2013,Fem,66+,"97,6%"
Brasil,Ignorado,2013,Masc,Total,"94,1%"
Brasil,Ignorado,2013,Fem,Total,"91,7%"
Brasil,Ignorado,2013,Total,14-19,"79,3%"
Brasil,Ignorado,2013,Total,20-29,"88,6%"
Brasil,Ignorado,2013,Total,30-39,"92,5%"
Brasil,Ignorado,2013,Total,40-49,"94,8%"
Brasil,Ignorado,2013,Total,50-59,"97,7%"
Brasil,Ignorado,2013,Total,60-65,"94,4%"
Brasil,Ignorado,2013,Total,66+,"98,4%"
Brasil,Ignorado,2014,Total,Total,"94,1%"
Brasil,Ignorado,2014,Masc,14-19,"93,9%"
Brasil,Ignorado,2014,Masc,20-29,"88,6%"
Brasil,Ignorado,2014,Masc,30-39,"93,2%"
Brasil,Ignorado,2014,Masc,40-49,"99,5%"
Brasil,Ignorado,2014,Masc,50-59,"98,3%"
Brasil,Ignorado,2014,Masc,60-65,"94,7%"
Brasil,Ignorado,2014,Masc,66+,"100,0%"
Brasil,Ignorado,2014,Fem,14-19,"70,5%"
Brasil,Ignorado,2014,Fem,20-29,"89,0%"
Brasil,Ignorado,2014,Fem,30-39,"99,1%"
Brasil,Ignorado,2014,Fem,40-49,"94,8%"
Brasil,Ignorado,2014,Fem,50-59,"96,1%"
Brasil,Ignorado,2014,Fem,60-65,"97,8%"
Brasil,Ignorado,2014,Fem,66+,"76,7%"
Brasil,Ignorado,2014,Masc,Total,"95,1%"
Brasil,Ignorado,2014,Fem,Total,"92,8%"
Brasil,Ignorado,2014,Total,14-19,"80,8%"
Brasil,Ignorado,2014,Total,20-29,"88,8%"
Brasil,Ignorado,2014,Total,30-39,"96,2%"
Brasil,Ignorado,2014,Total,40-49,"97,5%"
Brasil,Ignorado,2014,Total,50-59,"97,3%"
Brasil,Ignorado,2014,Total,60-65,"95,8%"
Brasil,Ignorado,2014,Total,66+,"94,5%"
Brasil,Ignorado,2015,Total,Total,"93,0%"
Brasil,Ignorado,2015,Masc,14-19,"75,8%"
Brasil,Ignorado,2015,Masc,20-29,"87,5%"
Brasil,Ignorado,2015,Masc,30-39,"92,0%"
Brasil,Ignorado,2015,Masc,40-49,"97,8%"
Brasil,Ignorado,2015,Masc,50-59,"96,6%"
Brasil,Ignorado,2015,Masc,60-65,"97,1%"
Brasil,Ignorado,2015,Masc,66+,"100,0%"
Brasil,Ignorado,2015,Fem,14-19,"63,2%"
Brasil,Ignorado,2015,Fem,20-29,"86,1%"
Brasil,Ignorado,2015,Fem,30-39,"95,9%"
Brasil,Ignorado,2015,Fem,40-49,"97,1%"
Brasil,Ignorado,2015,Fem,50-59,"96,1%"
Brasil,Ignorado,2015,Fem,60-65,"100,0%"
Brasil,Ignorado,2015,Fem,66+,"93,2%"
Brasil,Ignorado,2015,Masc,Total,"93,6%"
Brasil,Ignorado,2015,Fem,Total,"92,0%"
Brasil,Ignorado,2015,Total,14-19,"67,9%"
Brasil,Ignorado,2015,Total,20-29,"87,0%"
Brasil,Ignorado,2015,Total,30-39,"93,6%"
Brasil,Ignorado,2015,Total,40-49,"97,5%"
Brasil,Ignorado,2015,Total,50-59,"96,4%"
Brasil,Ignorado,2015,Total,60-65,"98,1%"
Brasil,Ignorado,2015,Total,66+,"98,3%"
Brasil,Ignorado,2016,Total,Total,"91,2%"
Brasil,Ignorado,2016,Masc,14-19,"89,9%"
Brasil,Ignorado,2016,Masc,20-29,"83,0%"
Brasil,Ignorado,2016,Masc,30-39,"97,0%"
Brasil,Ignorado,2016,Masc,40-49,"96,9%"
Brasil,Ignorado,2016,Masc,50-59,"94,5%"
Brasil,Ignorado,2016,Masc,60-65,"99,3%"
Brasil,Ignorado,2016,Masc,66+,"99,6%"
Brasil,Ignorado,2016,Fem,14-19,"41,3%"
Brasil,Ignorado,2016,Fem,20-29,"77,7%"
Brasil,Ignorado,2016,Fem,30-39,"92,8%"
Brasil,Ignorado,2016,Fem,40-49,"91,7%"
Brasil,Ignorado,2016,Fem,50-59,"96,7%"
Brasil,Ignorado,2016,Fem,60-65,"100,0%"
Brasil,Ignorado,2016,Fem,66+,"99,7%"
Brasil,Ignorado,2016,Masc,Total,"93,5%"
Brasil,Ignorado,2016,Fem,Total,"88,3%"
Brasil,Ignorado,2016,Total,14-19,"67,1%"
Brasil,Ignorado,2016,Total,20-29,"80,5%"
Brasil,Ignorado,2016,Total,30-39,"95,2%"
Brasil,Ignorado,2016,Total,40-49,"94,4%"
Brasil,Ignorado,2016,Total,50-59,"95,4%"
Brasil,Ignorado,2016,Total,60-65,"99,5%"
Brasil,Ignorado,2016,Total,66+,"99,6%"
Brasil,Ignorado,2017,Total,Total,"90,4%"
Brasil,Ignorado,2017,Masc,14-19,"87,5%"
Brasil,Ignorado,2017,Masc,20-29,"93,2%"
Brasil,Ignorado,2017,Masc,30-39,"88,2%"
Brasil,Ignorado,2017,Masc,40-49,"94,9%"
Brasil,Ignorado,2017,Masc,50-59,"92,4%"
Brasil,Ignorado,2017,Masc,60-65,"98,6%"
Brasil,Ignorado,2017,Masc,66+,"98,7%"
Brasil,Ignorado,2017,Fem,14-19,"55,8%"
Brasil,Ignorado,2017,Fem,20-29,"74,3%"
Brasil,Ignorado,2017,Fem,30-39,"90,3%"
Brasil,Ignorado,2017,Fem,40-49,"94,5%"
Brasil,Ignorado,2017,Fem,50-59,"96,5%"
Brasil,Ignorado,2017,Fem,60-65,"100,0%"
Brasil,Ignorado,2017,Fem,66+,"100,0%"
Brasil,Ignorado,2017,Masc,Total,"92,4%"
Brasil,Ignorado,2017,Fem,Total,"88,1%"
Brasil,Ignorado,2017,Total,14-19,"73,0%"
Brasil,Ignorado,2017,Total,20-29,"84,0%"
Brasil,Ignorado,2017,Total,30-39,"89,1%"
Brasil,Ignorado,2017,Total,40-49,"94,7%"
Brasil,Ignorado,2017,Total,50-59,"94,3%"
Brasil,Ignorado,2017,Total,60-65,"99,0%"
Brasil,Ignorado,2017,Total,66+,"99,4%"
Brasil,Ignorado,2018,Total,Total,"88,0%"
Brasil,Ignorado,2018,Masc,14-19,"87,0%"
Brasil,Ignorado,2018,Masc,20-29,"85,2%"
Brasil,Ignorado,2018,Masc,30-39,"88,7%"
Brasil,Ignorado,2018,Masc,40-49,"93,9%"
Brasil,Ignorado,2018,Masc,50-59,"91,5%"
Brasil,Ignorado,2018,Masc,60-65,"96,2%"
Brasil,Ignorado,2018,Masc,66+,"99,5%"
Brasil,Ignorado,2018,Fem,14-19,"56,6%"
Brasil,Ignorado,2018,Fem,20-29,"77,1%"
Brasil,Ignorado,2018,Fem,30-39,"87,4%"
Brasil,Ignorado,2018,Fem,40-49,"93,3%"
Brasil,Ignorado,2018,Fem,50-59,"89,1%"
Brasil,Ignorado,2018,Fem,60-65,"88,3%"
Brasil,Ignorado,2018,Fem,66+,"96,1%"
Brasil,Ignorado,2018,Masc,Total,"90,3%"
Brasil,Ignorado,2018,Fem,Total,"85,1%"
Brasil,Ignorado,2018,Total,14-19,"70,5%"
Brasil,Ignorado,2018,Total,20-29,"81,6%"
Brasil,Ignorado,2018,Total,30-39,"88,1%"
Brasil,Ignorado,2018,Total,40-49,"93,6%"
Brasil,Ignorado,2018,Total,50-59,"90,4%"
Brasil,Ignorado,2018,Total,60-65,"93,3%"
Brasil,Ignorado,2018,Total,66+,"98,2%"
Brasil,Ignorado,2019,Total,Total,"91,3%"
Brasil,Ignorado,2019,Masc,14-19,"77,7%"
Brasil,Ignorado,2019,Masc,20-29,"92,8%"
Brasil,Ignorado,2019,Masc,30-39,"94,9%"
Brasil,Ignorado,2019,Masc,40-49,"98,1%"
Brasil,Ignorado,2019,Masc,50-59,"97,2%"
Brasil,Ignorado,2019,Masc,60-65,"97,3%"
Brasil,Ignorado,2019,Masc,66+,"92,7%"
Brasil,Ignorado,2019,Fem,14-19,"60,1%"
Brasil,Ignorado,2019,Fem,20-29,"82,1%"
Brasil,Ignorado,2019,Fem,30-39,"84,7%"
Brasil,Ignorado,2019,Fem,40-49,"91,3%"
Brasil,Ignorado,2019,Fem,50-59,"93,3%"
Brasil,Ignorado,2019,Fem,60-65,"98,3%"
Brasil,Ignorado,2019,Fem,66+,"100,0%"
Brasil,Ignorado,2019,Masc,Total,"94,8%"
Brasil,Ignorado,2019,Fem,Total,"87,0%"
Brasil,Ignorado,2019,Total,14-19,"70,5%"
Brasil,Ignorado,2019,Total,20-29,"87,4%"
Brasil,Ignorado,2019,Total,30-39,"90,4%"
Brasil,Ignorado,2019,Total,40-49,"95,2%"
Brasil,Ignorado,2019,Total,50-59,"95,4%"
Brasil,Ignorado,2019,Total,60-65,"97,8%"
Brasil,Ignorado,2019,Total,66+,"94,9%"
Brasil,Ignorado,2020,Total,Total,"86,6%"
Brasil,Ignorado,2020,Masc,14-19,"44,9%"
Brasil,Ignorado,2020,Masc,20-29,"86,2%"
Brasil,Ignorado,2020,Masc,30-39,"91,9%"
Brasil,Ignorado,2020,Masc,40-49,"92,0%"
Brasil,Ignorado,2020,Masc,50-59,"95,7%"
Brasil,Ignorado,2020,Masc,60-65,"92,4%"
Brasil,Ignorado,2020,Masc,66+,"94,3%"
Brasil,Ignorado,2020,Fem,14-19,"55,5%"
Brasil,Ignorado,2020,Fem,20-29,"71,1%"
Brasil,Ignorado,2020,Fem,30-39,"87,8%"
Brasil,Ignorado,2020,Fem,40-49,"86,8%"
Brasil,Ignorado,2020,Fem,50-59,"94,9%"
Brasil,Ignorado,2020,Fem,60-65,"79,7%"
Brasil,Ignorado,2020,Fem,66+,"97,4%"
Brasil,Ignorado,2020,Masc,Total,"88,6%"
Brasil,Ignorado,2020,Fem,Total,"84,1%"
Brasil,Ignorado,2020,Total,14-19,"47,7%"
Brasil,Ignorado,2020,Total,20-29,"79,5%"
Brasil,Ignorado,2020,Total,30-39,"89,8%"
Brasil,Ignorado,2020,Total,40-49,"89,8%"
Brasil,Ignorado,2020,Total,50-59,"95,3%"
Brasil,Ignorado,2020,Total,60-65,"87,3%"
Brasil,Ignorado,2020,Total,66+,"95,3%"
Brasil,Ignorado,2021,Total,Total,"91,2%"
Brasil,Ignorado,2021,Masc,14-19,"59,1%"
Brasil,Ignorado,2021,Masc,20-29,"87,6%"
Brasil,Ignorado,2021,Masc,30-39,"93,9%"
Brasil,Ignorado,2021,Masc,40-49,"96,7%"
Brasil,Ignorado,2021,Masc,50-59,"98,7%"
Brasil,Ignorado,2021,Masc,60-65,"98,3%"
Brasil,Ignorado,2021,Masc,66+,"100,0%"
Brasil,Ignorado,2021,Fem,14-19,"47,1%"
Brasil,Ignorado,2021,Fem,20-29,"80,8%"
Brasil,Ignorado,2021,Fem,30-39,"91,9%"
Brasil,Ignorado,2021,Fem,40-49,"91,3%"
Brasil,Ignorado,2021,Fem,50-59,"95,5%"
Brasil,Ignorado,2021,Fem,60-65,"98,1%"
Brasil,Ignorado,2021,Fem,66+,"100,0%"
Brasil,Ignorado,2021,Masc,Total,"93,3%"
Brasil,Ignorado,2021,Fem,Total,"88,5%"
Brasil,Ignorado,2021,Total,14-19,"52,2%"
Brasil,Ignorado,2021,Total,20-29,"84,7%"
Brasil,Ignorado,2021,Total,30-39,"93,0%"
Brasil,Ignorado,2021,Total,40-49,"94,5%"
Brasil,Ignorado,2021,Total,50-59,"97,2%"
Brasil,Ignorado,2021,Total,60-65,"98,2%"
Brasil,Ignorado,2021,Total,66+,"100,0%"
Brasil,Ignorado,2022,Total,Total,"90,8%"
Brasil,Ignorado,2022,Masc,14-19,"83,0%"
Brasil,Ignorado,2022,Masc,20-29,"87,7%"
Brasil,Ignorado,2022,Masc,30-39,"96,5%"
Brasil,Ignorado,2022,Masc,40-49,"92,4%"
