local,raca_cor,ano,incidencia_cancer_mama
Nordeste,Branca,1994,18
Brasil,Branca,1995,174
Fortaleza,Branca,1995,6
Ceará,Branca,1995,6
Nordeste,Branca,1995,37
Brasil,Branca,1996,231
Fortaleza,Branca,1996,1
Ceará,Branca,1996,4
Nordeste,Branca,1996,36
Brasil,Branca,1997,310
Fortaleza,Branca,1997,3
Ceará,Branca,1997,5
Nordeste,Branca,1997,52
Brasil,Branca,1998,513
Fortaleza,Branca,1998,10
Ceará,Branca,1998,10
Nordeste,Branca,1998,50
Brasil,Branca,1999,977
Fortaleza,Branca,1999,37
Ceará,Branca,1999,51
Nordeste,Branca,1999,207
Brasil,Branca,2000,3.924
Fortaleza,Branca,2000,153
Ceará,Branca,2000,213
Nordeste,Branca,2000,680
Brasil,Branca,2001,4.959
Fortaleza,Branca,2001,188
Ceará,Branca,2001,246
Nordeste,Branca,2001,836
Brasil,Branca,2002,6.254
Fortaleza,Branca,2002,203
Ceará,Branca,2002,276
Nordeste,Branca,2002,1.019
Brasil,Branca,2003,6.314
Fortaleza,Branca,2003,231
Ceará,Branca,2003,297
Nordeste,Branca,2003,1.039
Brasil,Branca,2004,7.035
Fortaleza,Branca,2004,229
Ceará,Branca,2004,293
Nordeste,Branca,2004,1.198
Brasil,Branca,2005,7.958
Fortaleza,Branca,2005,220
Ceará,Branca,2005,295
Nordeste,Branca,2005,1.228
Brasil,Branca,2006,8.500
Fortaleza,Branca,2006,222
Ceará,Branca,2006,312
Nordeste,Branca,2006,1.182
Brasil,Branca,2007,10.515
Fortaleza,Branca,2007,233
Ceará,Branca,2007,327
Nordeste,Branca,2007,1.348
Brasil,Branca,2008,11.473
Fortaleza,Branca,2008,256
Ceará,Branca,2008,388
Nordeste,Branca,2008,1.459
Brasil,Branca,2009,12.530
Fortaleza,Branca,2009,248
Ceará,Branca,2009,362
Nordeste,Branca,2009,1.546
Brasil,Branca,2010,13.175
Fortaleza,Branca,2010,227
Ceará,Branca,2010,320
Nordeste,Branca,2010,1.548
Brasil,Branca,2011,13.279
Fortaleza,Branca,2011,314
Ceará,Branca,2011,430
Nordeste,Branca,2011,1.907
Brasil,Branca,2012,13.406
Fortaleza,Branca,2012,305
Ceará,Branca,2012,480
Nordeste,Branca,2012,1.886
Brasil,Branca,2013,14.921
Fortaleza,Branca,2013,401
Ceará,Branca,2013,635
Nordeste,Branca,2013,2.313
Brasil,Branca,2014,14.991
Fortaleza,Branca,2014,317
Ceará,Branca,2014,491
Nordeste,Branca,2014,1.927
Brasil,Branca,2015,14.252
Fortaleza,Branca,2015,237
Ceará,Branca,2015,363
Nordeste,Branca,2015,1.517
Brasil,Branca,2016,14.390
Fortaleza,Branca,2016,176
Ceará,Branca,2016,285
Nordeste,Branca,2016,1.396
Brasil,Branca,2017,14.403
Fortaleza,Branca,2017,140
Ceará,Branca,2017,238
Nordeste,Branca,2017,1.484
Brasil,Branca,2018,13.969
Fortaleza,Branca,2018,141
Ceará,Branca,2018,245
Nordeste,Branca,2018,1.330
Brasil,Branca,2019,14.147
Fortaleza,Branca,2019,139
Ceará,Branca,2019,270
Nordeste,Branca,2019,1.050
Brasil,Branca,2020,9.553
Fortaleza,Branca,2020,63
Ceará,Branca,2020,105
Nordeste,Branca,2020,500
Brasil,Ignorado,1932,0
Nordeste,Ignorado,1932,0
Brasil,Ignorado,1935,0
Brasil,Ignorado,1939,0
Brasil,Ignorado,1943,0
Nordeste,Ignorado,1943,0
Brasil,Ignorado,1946,1
Nordeste,Ignorado,1946,1
Brasil,Ignorado,1954,0
Brasil,Ignorado,1955,1
Nordeste,Ignorado,1955,0
Brasil,Ignorado,1957,1
Brasil,Ignorado,1958,1
Nordeste,Ignorado,1958,1
Brasil,Ignorado,1959,0
Nordeste,Ignorado,1959,0
Brasil,Ignorado,1962,2
Nordeste,Ignorado,1962,0
Brasil,Ignorado,1963,1
Fortaleza,Ignorado,1963,1
Ceará,Ignorado,1963,1
Nordeste,Ignorado,1963,1
Brasil,Ignorado,1965,0
Nordeste,Ignorado,1965,0
Brasil,Ignorado,1966,0
Brasil,Ignorado,1967,0
Nordeste,Ignorado,1967,0
Brasil,Ignorado,1970,0
Brasil,Ignorado,1971,0
Brasil,Ignorado,1972,0
Nordeste,Ignorado,1972,0
Brasil,Ignorado,1973,0
Brasil,Ignorado,1974,1
Nordeste,Ignorado,1974,1
Brasil,Ignorado,1975,0
Brasil,Ignorado,1976,1
Nordeste,Ignorado,1976,0
Brasil,Ignorado,1977,1
Nordeste,Ignorado,1977,0
Brasil,Ignorado,1978,0
Nordeste,Ignorado,1978,0
Brasil,Ignorado,1979,1
Nordeste,Ignorado,1979,1
Brasil,Ignorado,1980,4
Nordeste,Ignorado,1980,0
Brasil,Ignorado,1981,3
Nordeste,Ignorado,1981,1
Brasil,Ignorado,1982,0
Nordeste,Ignorado,1982,0
Brasil,Ignorado,1983,2
Nordeste,Ignorado,1983,2
Brasil,Ignorado,1984,3
Nordeste,Ignorado,1984,0
Brasil,Ignorado,1985,5
Nordeste,Ignorado,1985,1
Brasil,Ignorado,1986,3
Nordeste,Ignorado,1986,0
Brasil,Ignorado,1987,2
Nordeste,Ignorado,1987,1
Brasil,Ignorado,1988,5
Fortaleza,Ignorado,1988,0
Ceará,Ignorado,1988,0
Nordeste,Ignorado,1988,1
Brasil,Ignorado,1989,9
Ceará,Ignorado,1989,1
Nordeste,Ignorado,1989,3
Brasil,Ignorado,1990,8
Fortaleza,Ignorado,1990,1
Ceará,Ignorado,1990,1
Nordeste,Ignorado,1990,5
Brasil,Ignorado,1991,18
Ceará,Ignorado,1991,0
Nordeste,Ignorado,1991,6
Brasil,Ignorado,1992,19
Fortaleza,Ignorado,1992,0
Ceará,Ignorado,1992,0
Nordeste,Ignorado,1992,6
Brasil,Ignorado,1993,20
Fortaleza,Ignorado,1993,1
Ceará,Ignorado,1993,1
Nordeste,Ignorado,1993,8
Brasil,Ignorado,1994,27
Fortaleza,Ignorado,1994,0
Ceará,Ignorado,1994,0
Nordeste,Ignorado,1994,12
Brasil,Ignorado,1995,43
Fortaleza,Ignorado,1995,0
Ceará,Ignorado,1995,0
Nordeste,Ignorado,1995,19
Brasil,Ignorado,1996,54
Fortaleza,Ignorado,1996,1
Ceará,Ignorado,1996,1
Nordeste,Ignorado,1996,18
Brasil,Ignorado,1997,71
Fortaleza,Ignorado,1997,1
Ceará,Ignorado,1997,2
Nordeste,Ignorado,1997,27
Brasil,Ignorado,1998,103
Fortaleza,Ignorado,1998,0
Ceará,Ignorado,1998,1
Nordeste,Ignorado,1998,39
Brasil,Ignorado,1999,247
Fortaleza,Ignorado,1999,12
Ceará,Ignorado,1999,14
Nordeste,Ignorado,1999,77
Brasil,Ignorado,2000,6.531
Fortaleza,Ignorado,2000,32
Ceará,Ignorado,2000,37
Nordeste,Ignorado,2000,256
Brasil,Ignorado,2001,6.832
Fortaleza,Ignorado,2001,15
Ceará,Ignorado,2001,19
Nordeste,Ignorado,2001,355
Brasil,Ignorado,2002,7.924
Fortaleza,Ignorado,2002,4
Ceará,Ignorado,2002,8
Nordeste,Ignorado,2002,349
Brasil,Ignorado,2003,8.596
Fortaleza,Ignorado,2003,11
Ceará,Ignorado,2003,16
Nordeste,Ignorado,2003,246
Brasil,Ignorado,2004,8.607
Fortaleza,Ignorado,2004,8
Ceará,Ignorado,2004,12
Nordeste,Ignorado,2004,345
Brasil,Ignorado,2005,9.695
Fortaleza,Ignorado,2005,3
Ceará,Ignorado,2005,9
Nordeste,Ignorado,2005,625
Brasil,Ignorado,2006,9.639
Fortaleza,Ignorado,2006,7
Ceará,Ignorado,2006,12
Nordeste,Ignorado,2006,427
Brasil,Ignorado,2007,10.046
Fortaleza,Ignorado,2007,29
Ceará,Ignorado,2007,85
Nordeste,Ignorado,2007,605
Brasil,Ignorado,2008,10.857
Fortaleza,Ignorado,2008,58
Ceará,Ignorado,2008,194
Nordeste,Ignorado,2008,959
Brasil,Ignorado,2009,12.064
Fortaleza,Ignorado,2009,68
Ceará,Ignorado,2009,238
Nordeste,Ignorado,2009,1.145
Brasil,Ignorado,2010,12.670
Fortaleza,Ignorado,2010,60
Ceará,Ignorado,2010,128
Nordeste,Ignorado,2010,950
Brasil,Ignorado,2011,14.436
Fortaleza,Ignorado,2011,48
Ceará,Ignorado,2011,60
Nordeste,Ignorado,2011,1.268
Brasil,Ignorado,2012,14.878
Fortaleza,Ignorado,2012,63
Ceará,Ignorado,2012,83
Nordeste,Ignorado,2012,1.518
Brasil,Ignorado,2013,15.119
Fortaleza,Ignorado,2013,66
Ceará,Ignorado,2013,78
Nordeste,Ignorado,2013,1.417
Brasil,Ignorado,2014,15.272
Fortaleza,Ignorado,2014,42
Ceará,Ignorado,2014,51
Nordeste,Ignorado,2014,1.145
Brasil,Ignorado,2015,14.154
Fortaleza,Ignorado,2015,54
Ceará,Ignorado,2015,75
Nordeste,Ignorado,2015,1.025
Brasil,Ignorado,2016,14.220
Fortaleza,Ignorado,2016,24
Ceará,Ignorado,2016,53
Nordeste,Ignorado,2016,1.138
Brasil,Ignorado,2017,13.832
Fortaleza,Ignorado,2017,15
Ceará,Ignorado,2017,134
Nordeste,Ignorado,2017,1.077
Brasil,Ignorado,2018,13.012
Fortaleza,Ignorado,2018,17
Ceará,Ignorado,2018,222
Nordeste,Ignorado,2018,814
Brasil,Ignorado,2019,12.425
Fortaleza,Ignorado,2019,6
Ceará,Ignorado,2019,152
Nordeste,Ignorado,2019,529
Brasil,Ignorado,2020,9.034
Fortaleza,Ignorado,2020,11
Ceará,Ignorado,2020,23
Nordeste,Ignorado,2020,238
Brasil,Indígena,1932,0
Nordeste,Indígena,1932,0
Brasil,Indígena,1935,0
Brasil,Indígena,1939,0
Brasil,Indígena,1943,0
Nordeste,Indígena,1943,0
Brasil,Indígena,1946,0
Nordeste,Indígena,1946,0
Brasil,Indígena,1954,0
Brasil,Indígena,1955,0
Nordeste,Indígena,1955,0
Brasil,Indígena,1957,0
Brasil,Indígena,1958,0
Nordeste,Indígena,1958,0
Brasil,Indígena,1959,0
Nordeste,Indígena,1959,0
Brasil,Indígena,1962,0
Nordeste,Indígena,1962,0
Brasil,Indígena,1963,0
Fortaleza,Indígena,1963,0
Ceará,Indígena,1963,0
Nordeste,Indígena,1963,0
Brasil,Indígena,1965,0
Nordeste,Indígena,1965,0
Brasil,Indígena,1966,0
Brasil,Indígena,1967,0
Nordeste,Indígena,1967,0
Brasil,Indígena,1970,0
Brasil,Indígena,1971,0
Brasil,Indígena,1972,0
Nordeste,Indígena,1972,0
Brasil,Indígena,1973,0
Brasil,Indígena,1974,0
Nordeste,Indígena,1974,0
Brasil,Indígena,1975,0
Brasil,Indígena,1976,0
Nordeste,Indígena,1976,0
Brasil,Indígena,1977,0
Nordeste,Indígena,1977,0
Brasil,Indígena,1978,0
Nordeste,Indígena,1978,0
Brasil,Indígena,1979,0
Nordeste,Indígena,1979,0
Brasil,Indígena,1980,0
Nordeste,Indígena,1980,0
Brasil,Indígena,1981,0
Nordeste,Indígena,1981,0
Brasil,Indígena,1982,0
Nordeste,Indígena,1982,0
Brasil,Indígena,1983,0
Nordeste,Indígena,1983,0
Brasil,Indígena,1984,0
Nordeste,Indígena,1984,0
Brasil,Indígena,1985,0
Nordeste,Indígena,1985,0
Brasil,Indígena,1986,0
Nordeste,Indígena,1986,0
Brasil,Indígena,1987,0
Nordeste,Indígena,1987,0
Brasil,Indígena,1988,0
Fortaleza,Indígena,1988,0
Ceará,Indígena,1988,0
Nordeste,Indígena,1988,0
Brasil,Indígena,1989,0
Ceará,Indígena,1989,0
Nordeste,Indígena,1989,0
Brasil,Indígena,1990,0
Fortaleza,Indígena,1990,0
Ceará,Indígena,1990,0
Nordeste,Indígena,1990,0
Brasil,Indígena,1991,0
Ceará,Indígena,1991,0
Nordeste,Indígena,1991,0
Brasil,Indígena,1992,0
Fortaleza,Indígena,1992,0
Ceará,Indígena,1992,0
Nordeste,Indígena,1992,0
Brasil,Indígena,1993,0
Fortaleza,Indígena,1993,0
Ceará,Indígena,1993,0
Nordeste,Indígena,1993,0
Brasil,Indígena,1994,0
Fortaleza,Indígena,1994,0
Ceará,Indígena,1994,0
Nordeste,Indígena,1994,0
Brasil,Indígena,1995,0
Fortaleza,Indígena,1995,0
Ceará,Indígena,1995,0
Nordeste,Indígena,1995,0
Brasil,Indígena,1996,0
Fortaleza,Indígena,1996,0
Ceará,Indígena,1996,0
Nordeste,Indígena,1996,0
Brasil,Indígena,1997,2
Fortaleza,Indígena,1997,0
Ceará,Indígena,1997,0
Nordeste,Indígena,1997,0
Brasil,Indígena,1998,0
Fortaleza,Indígena,1998,0
Ceará,Indígena,1998,0
Nordeste,Indígena,1998,0
Brasil,Indígena,1999,2
Fortaleza,Indígena,1999,0
Ceará,Indígena,1999,0
Nordeste,Indígena,1999,2
Brasil,Indígena,2000,4
Fortaleza,Indígena,2000,0
Ceará,Indígena,2000,0
Nordeste,Indígena,2000,2
Brasil,Indígena,2001,8
Fortaleza,Indígena,2001,1
Ceará,Indígena,2001,1
Nordeste,Indígena,2001,1
Brasil,Indígena,2002,5
Fortaleza,Indígena,2002,0
Ceará,Indígena,2002,0
Nordeste,Indígena,2002,0
Brasil,Indígena,2003,9
Fortaleza,Indígena,2003,0
Ceará,Indígena,2003,0
Nordeste,Indígena,2003,2
Brasil,Indígena,2004,15
Fortaleza,Indígena,2004,0
Ceará,Indígena,2004,0
Nordeste,Indígena,2004,2
Brasil,Indígena,2005,25
Fortaleza,Indígena,2005,0
Ceará,Indígena,2005,0
Nordeste,Indígena,2005,2
Brasil,Indígena,2006,14
Fortaleza,Indígena,2006,0
Ceará,Indígena,2006,0
Nordeste,Indígena,2006,3
Brasil,Indígena,2007,23
Fortaleza,Indígena,2007,1
Ceará,Indígena,2007,2
Nordeste,Indígena,2007,6
Brasil,Indígena,2008,25
Fortaleza,Indígena,2008,3
Ceará,Indígena,2008,3
Nordeste,Indígena,2008,11
Brasil,Indígena,2009,24
Fortaleza,Indígena,2009,7
Ceará,Indígena,2009,9
Nordeste,Indígena,2009,14
Brasil,Indígena,2010,45
Fortaleza,Indígena,2010,8
Ceará,Indígena,2010,13
Nordeste,Indígena,2010,25
Brasil,Indígena,2011,29
Fortaleza,Indígena,2011,7
Ceará,Indígena,2011,13
Nordeste,Indígena,2011,19
Brasil,Indígena,2012,17
Fortaleza,Indígena,2012,2
Ceará,Indígena,2012,3
Nordeste,Indígena,2012,7
Brasil,Indígena,2013,12
Fortaleza,Indígena,2013,3
Ceará,Indígena,2013,3
Nordeste,Indígena,2013,6
Brasil,Indígena,2014,15
Fortaleza,Indígena,2014,1
Ceará,Indígena,2014,1
Nordeste,Indígena,2014,8
Brasil,Indígena,2015,43
Fortaleza,Indígena,2015,0
Ceará,Indígena,2015,2
Nordeste,Indígena,2015,14
Brasil,Indígena,2016,24
Fortaleza,Indígena,2016,0
Ceará,Indígena,2016,0
Nordeste,Indígena,2016,3
Brasil,Indígena,2017,41
Fortaleza,Indígena,2017,1
Ceará,Indígena,2017,4
Nordeste,Indígena,2017,9
Brasil,Indígena,2018,41
Fortaleza,Indígena,2018,0
Ceará,Indígena,2018,0
Nordeste,Indígena,2018,8
Brasil,Indígena,2019,37
Fortaleza,Indígena,2019,4
Ceará,Indígena,2019,7
Nordeste,Indígena,2019,15
Brasil,Indígena,2020,33
Fortaleza,Indígena,2020,0
Ceará,Indígena,2020,1
Nordeste,Indígena,2020,5
Brasil,Parda,1932,1
Nordeste,Parda,1932,1
Brasil,Parda,1935,0
Brasil,Parda,1939,0
Brasil,Parda,1943,0
Nordeste,Parda,1943,0
Brasil,Parda,1946,1
Nordeste,Parda,1946,1
Brasil,Parda,1954,1
Brasil,Parda,1955,0
Nordeste,Parda,1955,0
Brasil,Parda,1957,0
Brasil,Parda,1958,0
Nordeste,Parda,1958,0
Brasil,Parda,1959,0
Nordeste,Parda,1959,0
Brasil,Parda,1962,0
Nordeste,Parda,1962,0
Brasil,Parda,1963,0
Fortaleza,Parda,1963,0
Ceará,Parda,1963,0
Nordeste,Parda,1963,0
Brasil,Parda,1965,1
Nordeste,Parda,1965,1
Brasil,Parda,1966,0
Brasil,Parda,1967,0
Nordeste,Parda,1967,0
Brasil,Parda,1970,0
Brasil,Parda,1971,0
Brasil,Parda,1972,1
Nordeste,Parda,1972,0
Brasil,Parda,1973,1
Brasil,Parda,1974,0
Nordeste,Parda,1974,0
Brasil,Parda,1975,0
Brasil,Parda,1976,0
Nordeste,Parda,1976,0
Brasil,Parda,1977,1
Nordeste,Parda,1977,1
Brasil,Parda,1978,2
Nordeste,Parda,1978,1
Brasil,Parda,1979,0
Nordeste,Parda,1979,0
Brasil,Parda,1980,4
Nordeste,Parda,1980,2
Brasil,Parda,1981,2
Nordeste,Parda,1981,1
Brasil,Parda,1982,3
Nordeste,Parda,1982,1
Brasil,Parda,1983,5
Nordeste,Parda,1983,4
Brasil,Parda,1984,6
Nordeste,Parda,1984,4
Brasil,Parda,1985,7
Nordeste,Parda,1985,6
Brasil,Parda,1986,3
Nordeste,Parda,1986,2
Brasil,Parda,1987,8
Nordeste,Parda,1987,1
Brasil,Parda,1988,8
Fortaleza,Parda,1988,0
Ceará,Parda,1988,0
Nordeste,Parda,1988,2
Brasil,Parda,1989,10
Ceará,Parda,1989,1
Nordeste,Parda,1989,4
Brasil,Parda,1990,26
Fortaleza,Parda,1990,2
Ceará,Parda,1990,4
Nordeste,Parda,1990,20
Brasil,Parda,1991,22
Ceará,Parda,1991,1
Nordeste,Parda,1991,15
Brasil,Parda,1992,21
Fortaleza,Parda,1992,3
Ceará,Parda,1992,3
Nordeste,Parda,1992,14
Brasil,Parda,1993,35
Fortaleza,Parda,1993,2
Ceará,Parda,1993,2
Nordeste,Parda,1993,19
Brasil,Parda,1994,42
Fortaleza,Parda,1994,1
Ceará,Parda,1994,1
Nordeste,Parda,1994,21
Brasil,Parda,1995,60
Fortaleza,Parda,1995,1
Ceará,Parda,1995,2
Nordeste,Parda,1995,35
Brasil,Parda,1996,79
Fortaleza,Parda,1996,6
Ceará,Parda,1996,9
Nordeste,Parda,1996,43
Brasil,Parda,1997,89
Fortaleza,Parda,1997,5
Ceará,Parda,1997,7
Nordeste,Parda,1997,43
Brasil,Parda,1998,174
Fortaleza,Parda,1998,9
Ceará,Parda,1998,16
Nordeste,Parda,1998,88
Brasil,Parda,1999,402
Fortaleza,Parda,1999,33
Ceará,Parda,1999,43
Nordeste,Parda,1999,230
Brasil,Parda,2000,1.924
Fortaleza,Parda,2000,151
Ceará,Parda,2000,234
Nordeste,Parda,2000,809
Brasil,Parda,2001,2.885
Fortaleza,Parda,2001,156
Ceará,Parda,2001,245
Nordeste,Parda,2001,1.474
Brasil,Parda,2002,3.091
Fortaleza,Parda,2002,166
Ceará,Parda,2002,260
Nordeste,Parda,2002,1.686
Brasil,Parda,2003,3.676
Fortaleza,Parda,2003,207
Ceará,Parda,2003,330
Nordeste,Parda,2003,1.943
Brasil,Parda,2004,4.235
Fortaleza,Parda,2004,188
Ceará,Parda,2004,296
Nordeste,Parda,2004,2.219
Brasil,Parda,2005,4.830
Fortaleza,Parda,2005,198
Ceará,Parda,2005,329
Nordeste,Parda,2005,2.681
Brasil,Parda,2006,5.711
Fortaleza,Parda,2006,198
Ceará,Parda,2006,324
Nordeste,Parda,2006,3.344
Brasil,Parda,2007,6.607
